ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0191ZAD92,FORB Launch Pad Golf Practice Mat – 2ft x 1ft Artificial Turf Hitting Mat – Includes Removable Rubber Tee – Durable Rubber Base – Ideal for Indoor & Outdoor Golf Practice,Nws,Sports & Outdoors,MAYBE,7.6,GBP29.99,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B079RH59WR,Vermont Classic Tour Tennis Balls - ITF Approved Woven Cloth Tennis Ball (3 Tubes / 12 Balls),Vermont,Sports & Outdoors,MAYBE,7.8,GBP22.99,GBP0.00,25.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CB5RLM6V,"GYMAX Tennis Ball Cart, Foldable Tennis Balls Hopper Basket with Wheels, Side Pockets & Carry Bag, 150 Ball Capacity Available, Lightweight Tennis Teaching Cart",GYMAX,Sports & Outdoors,MAYBE,7.2,GBP44.99,GBP4.95,10.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01N24MQXO,"Bender Gloves - Men's Golf Glove, Durable Mesh Material, Unique Golf Gloves Men Right Handed Golfer (Wear On Left)",BG,Sports & Outdoors,MAYBE,7.6,GBP38.89,GBP1.89,19.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000T21OJU,"Penn Championship Extra Duty Felt Tennis Balls - 6 Cans, 18 Balls",Penn,Sports & Outdoors,BRAND APPROACH,7.0,GBP46.56,GBP3.48,16.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FH2B5Y9C,"display4top 5M Badminton Net Set, Volleyball Tennis Net, Height Adjustable, Portable with Portable Carry Bag, Sports Net for Indoor or Outdoor Court, Beach, Driveway, Blue",display4top,Sports & Outdoors,MAYBE,7.7,GBP39.09,GBP5.10,7.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07MTPLPT1,WILSON Energy XL Tennis Racket - 4 3/8 inches,Wilson,Sports & Outdoors,BRAND APPROACH,6.6,GBP34.99,GBP4.65,6.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0GL8V5FSZ,"Wilson Federer Junior Tennis Racket Series (19""-25"" Age 2-10) inc 3 Tennis Balls (25"" (8-10 Year Old))",Wilson,Sports & Outdoors,BRAND APPROACH,7.5,GBP34.95,GBP4.50,7.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FLDGXR8G,"STIGA Club Cybershape Table Tennis Bat – Beginner Table Tennis Bat with 5-Ply Wood Blade, STAR Club Rubber & Large Sweet Spot – Learn Proper Technique from Day One",STIGA,Sports & Outdoors,MAYBE-ROI,6.6,GBP25.32,GBP2.10,12.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D4LND3T1,YONEX Badminton Racquet NANOFLARE Speed 7 Blue G4 4U,YONEX,Sports & Outdoors,MAYBE,7.0,GBP31.00,GBP4.50,4.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
