ASIN,Product Name,Brand,Amazon URL,Category,Weight Flag,Verdict,Verdict Reason,Opportunity Lane,Commercial Priority,Lane Reason,Composite Score,Demand Score,Stability Score,Competition Score,Margin Score,Cash Flow Score,Profit Score,Balanced Score,Monthly Gross Profit,Price Compression,Listing Quality,Current Price,Buy Box 90d Avg,Price Stability,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,BSR Current,BSR Drops 90d,Bought per Month,Star Rating,Review Count,Brand 1P,FBA Seller Count,Amazon on Listing,Amazon Buy Box Share,Private Label Risk,Brand Seller Match,Fortress Listing,Brand Type,A+ Content Present,Brand Store Present,Category Risk Level,IP Risk Score,IP Risk Band,IP Reason,Gated,SAS Flags,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Trade Price Found,Trade Price,Real ROI %,Supplier Notes,Outreach Email File,Decision,Decision Score,Decision Reason,Joinability Status,Buy Readiness,Max Buy Price,Target Buy Price,Cost Gap,Margin Status,Action Note,Shortlist Flag
B0CRZ8JWGH,"Team Butterfly Champion Table Tennis Bat, Professional Table Tennis Bat for Advanced and Experienced Players, ITTF Approved for Competitions",Butterfly,https://www.amazon.co.uk/dp/B0CRZ8JWGH,Sports & Outdoors,OK,MAYBE-ROI,BALANCED | 42/mo | GBP4.97 profit | GBP208.70 monthly gross | stable | 4 sellers,BALANCED,1,BALANCED | GBP208.70/mo | 42/mo | GBP4.97 unit profit | stable | 4 sellers,6.7,9,8,7,1,8.3,5.9,7.9,GBP209,OK,STRONG,GBP39.99,GBP39.51,STABLE,GBP2.10,GBP6.92,GBP9.02,GBP25.99,GBP4.97,19.1%,GBP25.81,GBP35.02,21351,21,0,4.5,303,N,4,Y,0%,-,NO,NO,GENERIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | BALANCED | GBP209.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP25.81,GBP23.23,,Unknown,Review listing safety,N
B0DK6YZMN1,"MAZEL Golf Stand Bag 2 Way Divider 2 Pockets,Adjustable Shoulder Straps,Superior 900D Nylon Lightweight Material Pencil Golf Bag for Men Women (Blue)",MAZEL,https://www.amazon.co.uk/dp/B0DK6YZMN1,Sports & Outdoors,OK,MAYBE,BALANCED | 44/mo | GBP4.38 profit | GBP192.70 monthly gross | stable | 2 sellers,BALANCED,2,BALANCED | GBP192.70/mo | 44/mo | GBP4.38 unit profit | stable | 2 sellers,7.3,7,10,10,1,8.9,5.1,7.8,GBP193,OK,STRONG,GBP49.99,GBP52.98,SLIGHT DIP (6%),GBP4.65,GBP8.47,GBP13.12,GBP32.49,GBP4.38,13.5%,GBP30.73,GBP45.61,47233,22,0,4.2,36,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | BALANCED | GBP193.00/mo | low IP risk | unlikely PL risk | slight dip (6%) | supplier cost missing,Joinable,Review Needed,GBP30.73,GBP27.66,,Unknown,Review listing safety,N
B083Y29SDG,Babolat GOLD ALL COURT TENNIS BALLS - 1 DOZEN,Babolat,https://www.amazon.co.uk/dp/B083Y29SDG,Sports & Outdoors,OK,BRAND APPROACH,BALANCED | 38/mo | GBP4.13 profit | GBP156.90 monthly gross | stable | 2 sellers,BALANCED,2,BALANCED | GBP156.90/mo | 38/mo | GBP4.13 unit profit | stable | 2 sellers,8.0,10,8,8,5,8.2,7.2,7.8,GBP157,OK,WEAK,GBP24.95,GBP23.84,RISING (5%),GBP0.00,GBP4.60,GBP4.60,GBP16.22,GBP4.13,25.5%,GBP16.96,GBP20.82,14823,19,0,4.7,15,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | BALANCED | GBP157.00/mo | low IP risk | unlikely PL risk | rising (5%) | supplier cost missing,Joinable,Review Needed,GBP16.96,GBP14.96,,Unknown,Review listing safety,N
B0D4M229LM,YONEX Graphite Badminton Racquet Astrox 88 Play Black Silver G5 4U,YONEX,https://www.amazon.co.uk/dp/B0D4M229LM,Sports & Outdoors,OK,BRAND APPROACH,BALANCED | 24/mo | GBP5.31 profit | GBP127.40 monthly gross | SQUEEZED | 2 sellers,BALANCED,2,BALANCED | GBP127.40/mo | 24/mo | GBP5.31 unit profit | SQUEEZED | 2 sellers,7.3,7,10,10,1,7.7,5.7,7.3,GBP127,SQUEEZED,WEAK,GBP53.99,GBP63.19,DROPPING (15%),GBP4.50,GBP9.08,GBP13.58,GBP35.09,GBP5.31,15.1%,GBP33.67,GBP48.68,32349,12,0,4.0,50,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | BALANCED | GBP127.00/mo | low IP risk | unlikely PL risk | dropping (15%) | supplier cost missing,Joinable,Review Needed,GBP33.67,GBP30.30,,Unknown,Review listing safety,N
B0191ZAD92,FORB Launch Pad Golf Practice Mat – 2ft x 1ft Artificial Turf Hitting Mat – Includes Removable Rubber Tee – Durable Rubber Base – Ideal for Indoor & Outdoor Golf Practice,Nws,https://www.amazon.co.uk/dp/B0191ZAD92,Sports & Outdoors,HEAVY,MAYBE,BALANCED | 16/mo | GBP5.11 profit | GBP81.80 monthly gross | SQUEEZED | 2 sellers,BALANCED,3,BALANCED | GBP81.80/mo | 16/mo | GBP5.11 unit profit | SQUEEZED | 2 sellers,7.6,6,10,10,4,7.3,7.2,7.2,GBP82,SQUEEZED,STRONG,GBP29.99,GBP36.23,DROPPING (17%),GBP0.00,GBP5.38,GBP5.38,GBP19.49,GBP5.11,26.2%,GBP20.51,GBP24.88,41407,8,0,4.1,203,N,2,N,0%,Unlikely,NO,NO,SYNTHETIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,58,WATCH | BALANCED | GBP82.00/mo | low IP risk | unlikely PL risk | dropping (17%) | supplier cost missing,Joinable,Review Needed,GBP20.51,GBP18.46,,Unknown,Review listing safety,N
B083DWLRWD,"Vermont Training Tennis Balls – ITF Approved Mini Red (Stage 3), Pack of 12",Vermont,https://www.amazon.co.uk/dp/B083DWLRWD,Sports & Outdoors,OK,YES,BALANCED | 24/mo | GBP4.14 profit | GBP99.40 monthly gross | SQUEEZED | 2 sellers,BALANCED,3,BALANCED | GBP99.40/mo | 24/mo | GBP4.14 unit profit | SQUEEZED | 2 sellers,8.7,9,10,10,5,7.6,6.9,7.1,GBP99,SQUEEZED,STRONG,GBP24.99,GBP29.70,DROPPING (16%),GBP0.00,GBP4.61,GBP4.61,GBP16.24,GBP4.14,25.5%,GBP16.98,GBP20.85,11554,12,0,4.2,124,N,2,N,0%,Unlikely,NO,NO,GENERIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,57,WATCH | BALANCED | GBP99.00/mo | low IP risk | unlikely PL risk | dropping (16%) | supplier cost missing,Joinable,Review Needed,GBP16.98,GBP14.98,,Unknown,Review listing safety,N
B0CY5JPKVW,"VERMONT TS100 Table Tennis Table Replacement Parts | Choose from 13 Replacement Parts for Improved Stability, Functionality, and Safety (Leg Support Arm)",Vermont,https://www.amazon.co.uk/dp/B0CY5JPKVW,Sports & Outdoors,OK,MAYBE,PROFIT | 10/mo | GBP6.68 profit | GBP66.80 monthly gross | stable | 2 sellers,PROFIT,3,PROFIT | GBP66.80/mo | lower volume | GBP6.68 unit profit | stable | 2 sellers,7.3,5,10,9,5,7.1,8.1,7.4,GBP67,OK,AVERAGE,GBP37.98,GBP38.83,STABLE,GBP0.00,GBP6.62,GBP6.62,GBP24.69,GBP6.68,27.0%,GBP26.14,GBP31.30,49142,5,0,3.0,1,N,2,N,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,57,WATCH | PROFIT | GBP67.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP26.14,GBP23.53,,Unknown,Review listing safety,N
B0FVFDZMNX,adidas Racket Padel Control 3.2 Black,adidas,https://www.amazon.co.uk/dp/B0FVFDZMNX,Sports & Outdoors,OK,MAYBE,CASH FLOW | 60/mo | GBP3.25 profit | GBP195.00 monthly gross | stable | 2 sellers,CASH FLOW,2,CASH FLOW | GBP195.00/mo | 60/mo | GBP3.25 unit profit | stable | 2 sellers,7.7,9,10,9,1,9.2,5.1,8,GBP195,OK,AVERAGE,GBP40.49,GBP44.06,SLIGHT DIP (8%),GBP3.93,GBP7.00,GBP10.93,GBP26.32,GBP3.25,12.3%,GBP24.64,GBP37.24,27960,30,0,4.5,2,N,2,N,0%,Unlikely,NO,NO,ESTABLISHED,NO,UNLIKELY,MEDIUM,2,Low,Established brand | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,56,WATCH | CASH FLOW | GBP195.00/mo | low IP risk | unlikely PL risk | slight dip (8%) | supplier cost missing,Joinable,Review Needed,GBP24.64,GBP22.18,,Unknown,Review listing safety,N
B0CSKCMTW5,"Butterfly Ovtcharov Expert Table Tennis Bat, Professional Table Tennis Bat for Advanced & Competition Players, ITTF Approved for Competitions, Extremely Grippy/Sticky Pads for Maximum Spin",Butterfly,https://www.amazon.co.uk/dp/B0CSKCMTW5,Sports & Outdoors,OK,MAYBE,BALANCED | 44/mo | GBP4.27 profit | GBP187.90 monthly gross | stable | 3 sellers,BALANCED,2,BALANCED | GBP187.90/mo | 44/mo | GBP4.27 unit profit | stable | 3 sellers,7.7,9,10,9,1,8.8,5.9,7.9,GBP188,OK,STRONG,GBP40.66,GBP41.41,STABLE,GBP2.94,GBP7.03,GBP9.97,GBP26.43,GBP4.27,16.1%,GBP25.58,GBP36.39,20172,22,0,4.3,70,N,3,Y,0%,-,NO,NO,GENERIC,YES,UNLIKELY,MEDIUM,2,Low,A+ content | Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,56,WATCH | BALANCED | GBP188.00/mo | low IP risk | - PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP25.58,GBP23.02,,Unknown,Review listing safety,N
B0GQGQN88N,"Lhysn Tennis Racket Storage Rack Stand, Tennis Racket Holder, Tennis Racquet Storage Rack, Tennis Racket Stand Durable and Storable, for Gymnasium Tennis Club (White)",Lhysn,https://www.amazon.co.uk/dp/B0GQGQN88N,Sports & Outdoors,OK,MAYBE,BALANCED | 30/mo | GBP3.53 profit | GBP105.90 monthly gross | stable | 2 sellers,BALANCED,2,BALANCED | GBP105.90/mo | 30/mo | GBP3.53 unit profit | stable | 2 sellers,7.1,7,10,9,1,8.1,5,7.3,GBP106,OK,AVERAGE,GBP39.99,GBP39.99,STABLE,GBP3.54,GBP6.92,GBP10.46,GBP25.99,GBP3.53,13.6%,GBP24.61,GBP36.46,25592,0,0,3.7,8,N,2,N,0%,Unlikely,NO,NO,GENERIC,NO,UNLIKELY,MEDIUM,1,Low,Category MEDIUM risk,-,MAYBE-ROI,UNCLEAR,,,,,N,,,No supplier accounts configured,,WATCH,56,WATCH | BALANCED | GBP106.00/mo | low IP risk | unlikely PL risk | stable | supplier cost missing,Joinable,Review Needed,GBP24.61,GBP22.15,,Unknown,Review listing safety,N
