ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0CT3VZSCV,"My Salah Mat Islamic Toys for Kids - My Quran Pad Educational Kids Toy Teach Arabic Alphabet for Kids With Daily Words, Animals & More - Interactive Smart Way to Learn Arabic - Ramadan and Eid Gift",My Salah Mat,https://www.amazon.co.uk/dp/B0CT3VZSCV,Toys & Games,,35.99,39.13,8.0%,18112,32995,49,50,5,0,N,3.06,6.31,9.37,23.39,3.23,13.8%,22.19,32.76,0%,UK Sourcing (100%) / A2KE7LF5D0D7A8,yes,4.4,77,10,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,0604565836823,604565836823,
B0FHQR4S6D,"Learning Resources Numberblocks Sing-Along Superhero Octoblock, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts Ages 3+",Learning Resources,https://www.amazon.co.uk/dp/B0FHQR4S6D,Toys & Games,,35.31,33.86,-4.0%,18391,17160,45,100,8,0,Y,2.98,6.20,9.18,22.95,3.18,13.9%,21.78,32.13,48%,Kiddimax - Free Next Day Delivery (90%) ,no,4.4,60,6,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,5055506414672,,
B0GF9Y7TZ2,The House of Puzzles | Village Life Jigsaw Puzzles | 500 Piece | Towns and Villages Theme | FSC Certified Board | Multi-Pack | 4 Puzzles,The House of Puzzles,https://www.amazon.co.uk/dp/B0GF9Y7TZ2,Toys & Games,,26.99,25.31,-7.0%,18519,30716,25,50,2,0,N,3.48,4.92,8.40,17.54,1.05,6.0%,15.49,25.94,0%,Bigjigs Toys (89%) / A2F7H5XWMN77FR,no,4.8,27,8,Y,5,STRONG,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060002008232,,
B07XJQS36F,Harry Potter Cluedo Board Game English Edition | Mystery Family Game for Ages 9 and up,Winning Moves,https://www.amazon.co.uk/dp/B07XJQS36F,Toys & Games,,22.85,22.84,0.0%,18559,13841,85,50,3,0,N,3.48,4.28,7.76,14.85,0.24,1.6%,12.57,22.61,0%,Booghe Toys - ( Fast Dispatch ) (92%) / ,yes,4.6,3911,6,Y,5,STRONG,N,-,MAYBE-ROI,,KEEPA,5036905037198,,05036905037198
B0D22WB565,UGEARS Wood Dragon 3D Puzzle - Model Building Kits Puzzle Box with Secret Drawer - Chinese 3D Dragon Wooden Puzzles for Adults Hobbies for Men - Wooden Model Kits For Adults to Build for Christmas,UGears,https://www.amazon.co.uk/dp/B0D22WB565,Toys & Games,,20.99,20.40,-3.0%,18949,22199,63,50,3,0,N,2.70,3.99,6.69,13.64,0.65,4.8%,11.92,20.34,0%,UGEARS DISTRIBUTION (100%) / A3T3RLO9NF8,yes,4.5,1782,9,Y,5,STRONG,Y,-,MAYBE-ROI,,KEEPA,4820184122253,,
B0035EQIAO,"Learning Resources Minute Math Electronic Flash Card, Ages 6+, Maths Travel Game, Fast-Paced Mental Arithmetic Toy with 3 Difficulty Levels, Gifts For Kids",Learning Resources,https://www.amazon.co.uk/dp/B0035EQIAO,Toys & Games,,22.95,22.50,-2.0%,19378,26126,61,50,4,0,Y,3.04,4.29,7.33,14.92,0.70,4.7%,13.02,22.25,49%,Kiddimax - Free Next Day Delivery (90%) ,no,3.8,1426,7,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,0765023069655,765023069655,00765023069655
B0F8JC7F2G,"LeapFrog LeapStart Reading Buddies Starter Set, Educational & Interactive Reading, Compatible with LeapStart Systems, Interactive Games & Activities, For Ages 3, 4, 5+ Years, English Version",LeapFrog,https://www.amazon.co.uk/dp/B0F8JC7F2G,Toys & Games,,36.97,31.60,-17.0%,19793,8292,175,100,8,0,Y,3.26,6.46,9.72,24.03,3.22,13.4%,22.71,33.75,94%,Amazon,yes,4.4,46,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,3417766211033,,03417766211033
B0F3P8RQVQ,"Learning Resources Numberblocks Wooden Building Blocks Activity Set, Wood Stacking Toy, Colour Sorting Counting Cubes, Preschool Maths Toys, Toddler Learning Activities, Kids Birthday Gift, Ages 3+",Learning Resources,https://www.amazon.co.uk/dp/B0F3P8RQVQ,Toys & Games,,24.20,25.07,3.0%,20189,18527,94,50,6,0,Y,3.04,4.49,7.53,15.73,0.94,6.0%,13.90,23.26,91%,Amazon,yes,4.8,104,7,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,5055506414771,,
B08CVRLBS1,Ravensburger Happy Days No.3 Countryside Nostalgia 4x 500 Piece Jigsaw Puzzles for Adults and for Kids Age 10 and Up,Ravensburger,https://www.amazon.co.uk/dp/B08CVRLBS1,Toys & Games,,24.99,23.13,-8.0%,20373,18224,107,50,11,0,Y,3.26,4.61,7.87,16.24,0.88,5.4%,14.27,24.11,44%,Home Essence Ltd (91%) / A3EOEZWEPXN9YI,no,4.6,871,10,Y,5,STRONG,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,4005556165780,,04005556165780
B00ZA11U7G,IDEAL | Tipping Point game: with electronic Tipping Point Machine and all new questions | Family TV Show Board Game | For 3+ Players or teams | Ages 10+,Ideal,https://www.amazon.co.uk/dp/B00ZA11U7G,Toys & Games,,22.69,23.86,5.0%,22122,16312,128,50,8,0,Y,3.05,4.25,7.30,14.75,0.64,4.3%,12.82,22.05,52%,Amazon,yes,4.3,3543,5,Y,5,AVERAGE,N,-,MAYBE-ROI,AMAZON CHECK,KEEPA,"0783318512426, 5020674102003, 5054242337993, 5054242373250",783318512426,05020674102003
