SKU,"Product Name",Brand,"New In","HS Code",Barcode,Origin,Availability,Price,URL
SCS21986,"Shaikhah Roll On Perfume Oil - 6ml (6pcs) Al-Rehab (?1.60/each) (4086) (OPP/SAFFRON)",Al-Rehab,No,"HS 3303.0010","EAN 6291110004086","United Arab Emirates","in stock",9.6,https://store.shure-cosmetics.co.uk/shaikhah-roll-on-perfume-oil-6ml-6pcs-al-rehab-ps1-60-qw
SCS23597,"Shams Al Emarat (Unisex 100ml EDP) JD Collection (9710) Opp.SF/10","JD Collection",No,"HS 3303.0010","EAN 8439627599710",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/shams-al-emarat-unisex-100ml-edp-jd-collection-9710-pj
SCS21041,"Shanaya (Ladies 100ml EDP) RiiFFS (4144) RiiFFS/45",RiiFFS,No,"HS 3303.0010","EAN 6290171074144","United Arab Emirates","in stock",12.95,https://store.shure-cosmetics.co.uk/shanaya-ladies-100ml-edp-riiffs-4144-riiffs-45
SCS00492,"She JYUK (Ladies 50ml PDT) Milton Lloyd - ML.B/2","Milton Lloyd",No,"HS 3303.0010",,"United Kingdom","in stock",2.81,https://store.shure-cosmetics.co.uk/she-jyuk-ladies-50ml-pdt-milton-lloyd
SCS24535,"She (Ladies 100ml EDP) Fragrance Couture (8966) NB/48","Fragrance Couture",No,"HS 3303.0010","EAN 8439627598966",India,"out of stock",1.95,https://store.shure-cosmetics.co.uk/she-ladies-100ml-edp-fragrance-couture-8966-nb-48
SCS61239,"Sheer Beauty (Ladies 100ml EDT) Calvin Klein (6134)","Calvin Klein",No,"HS 33030090","EAN 3607342306134",France,"out of stock",19.95,https://store.shure-cosmetics.co.uk/sheer-beauty-ladies-100ml-edt-calvin-klein-6134
SCS20057,"Shinning Lady (Ladies 35ml EDT) Lilyz (5446) (CZ9723-74)",Lilyz,No,"HS 3303.0010","EAN 5060616905446",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/shinning-lady-ladies-35ml-edt-lilyz-5446-cz9723-74
SCS19665,"Shiny Star (Ladies 35ml EDT) Lilyz (5484) (CZ9723-78)",Lilyz,No,"HS 3303.0010","EAN 5060616905484",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/shiny-star-ladies-35ml-edt-lilyz-5484-cz9723-78
SCS24198,"Shoe Shoe Pink (Ladies 100ml EDP) Omerta (FROM203) (0931)",Omerta,No,"HS 3303.0010","EAN 8715658380931",Netherlands,"out of stock",3.25,https://store.shure-cosmetics.co.uk/shoe-shoe-pink-ladies-100ml-edp-omerta-from203-0931-b-hd
SCS17177,"Shoe Shoe Red (Ladies 100ml EDP) Omerta (FROM095) (0672)",Omerta,No,"HS 33030010","EAN 8715658380672",Netherlands,"in stock",3.25,https://store.shure-cosmetics.co.uk/shoe-shoe-red-ladies-100ml-edp-omerta-from095-0672-a-il
