ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0FV97Y7G1,"Learning Resources Numberblocks Sing and Record Music Player, Ages 3+, Educational Musical Toy with Microphone, Songs, Counting & Early Maths Fun",Learning Resources,Toys & Games,MAYBE-ROI,6.1,GBP26.95,GBP3.04,8.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BXB6XL3D,"Learning Resources Hot Dots Numberblocks 11–20 Activity Book & Interactive Pen, Ages 5+, Numberblocks Gifts, Interactive Maths Toy, Gifts For Kids",Educational Insights,Toys & Games,MAYBE-ROI,5.0,GBP23.34,GBP2.94,5.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B088PF3H2S,"Learning Resources Sorting Surprise Pirate Treasure, Ages 3+, Colour Sorting Toy, Unlock Fine Motor Skills & Matching Fun, Gifts For Kids",Learning Resources,Toys & Games,MAYBE-ROI,5.7,GBP24.29,GBP3.04,6.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0035EQIAO,"Learning Resources Minute Math Electronic Flash Card, Ages 6+, Maths Travel Game, Fast-Paced Mental Arithmetic Toy with 3 Difficulty Levels, Gifts For Kids",Learning Resources,Toys & Games,MAYBE-ROI,6.6,GBP22.95,GBP3.04,4.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07PP3WWCF,Theo Klein 5392 Princess Coralie Make up and hairstyling head Emma,Theo Klein,Toys & Games,MAYBE-ROI,6.6,GBP24.99,GBP3.54,3.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000NVLE6U,Revell 04300 Lancaster Mk.I/III 1:72 Scale Unbuilt/Unpainted Plastic Model Kit,Revell,Toys & Games,MAYBE-ROI,6.0,GBP23.20,GBP3.26,3.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000F8XF86,"Learning Resources The Original Three Bear Family Basic Six Colour Rainbow Counter Set (Set of 96) Compare Bears Maths Counters, Classroom Maths Supplies to Compare Size, Blue,green,orange,purple,red",Learning Resources,Toys & Games,MAYBE-ROI,6.6,GBP22.85,GBP3.06,4.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0GF9N7D7K,The House of Puzzles | Going Places | 4x 500 Piece Jigsaw Puzzles | Transport Theme | 13 x 19 in | FSC Certified Board,The House of Puzzles,Toys & Games,MAYBE-ROI,6.6,GBP26.99,GBP3.48,6.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0GF9Y7TZ2,The House of Puzzles | Village Life Jigsaw Puzzles | 500 Piece | Towns and Villages Theme | FSC Certified Board | Multi-Pack | 4 Puzzles,The House of Puzzles,Toys & Games,MAYBE-ROI,6.6,GBP26.99,GBP3.48,6.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B073CYDDPN,"Peppa Pig Laugh and Learn Alphaphonics Interactive Toy Multicolor, PP03SB",Peppa Pig,Toys & Games,MAYBE-ROI,5.6,GBP21.19,GBP2.94,3.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07XJQS36F,Harry Potter Cluedo Board Game English Edition | Mystery Family Game for Ages 9 and up,Winning Moves,Toys & Games,MAYBE,7.6,GBP22.85,GBP3.48,1.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00B2FO6IE,"Learning Resources All About Me Family Counters, Ages 3+, Maths Sorting Toy, Colour Recognition, Counting Skills, Gifts for Kids",Learning Resources,Toys & Games,MAYBE-ROI,5.4,GBP21.50,GBP3.06,2.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000296LR0,"Learning Resources The Original Three Bear Family Basic Four Colour Counter Set (Set of 80) Compare Bears Maths Counters, Classroom Supplies to Learn Counting, Sorting, Size-grading & Mass Comparison",Learning Resources,Toys & Games,MAYBE-ROI,6.9,GBP20.95,GBP3.06,2.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09SP3TK8G,"Learning Resources Maths Island Addition & Subtraction Game, Educational Games, for 6 Year olds, Teaching Toys, Children’s, Age 6+, LER5025, Multicolor",Learning Resources,Toys & Games,MAYBE-ROI,6.0,GBP20.50,GBP3.06,1.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F3P5WWVQ,"Learning Resources Numberblock Seven Playful Pal Plush, Numbers for Toddlers, Preschool Maths Learning Toys, Stuffed Animal Plushies, Counting Blocks Stuffies, Kids Birthday Gifts, Ages 18 months+",Learning Resources,Toys & Games,MAYBE-ROI,5.1,GBP23.49,GBP3.71,0.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B06XY3C366,"CRAYOLA Mega Activity Tub - Including Crayons, Markers, Pencils, Pens, Paints, Clays, Colouring Book and Stickers | Kids Arts sand Crafts | Ideal for Kids Aged 4+",CRAYOLA,Toys & Games,MAYBE-ROI,6.0,GBP20.08,GBP3.49,-2.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0016FQK1Q,"PORTA PUZZLE Portapuzzle - XL Puzzle Board, Portable & Non-Slip Felt Jigsaw Board for up to 1500 Pieces - Lightweight, Easy to Store Mat, Sorter and Organiser - Dimensions 91 x 65 cm - Jumbo",PORTA PUZZLE,Toys & Games,MAYBE,7.8,GBP39.99,GBP10.92,-14.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
