supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS61178,8715658401599,Admiration Eternal Intenso (Ladies 100ml EDP) Linn Young (FRLY221) (1599),UNIT,UNIT,1,4.25,5.1,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61177,8715658401605,Admiration Eternal Rose Absolu (Ladies 100ml EDP) Linn Young (FRLY222) (1605),UNIT,UNIT,1,4.25,5.1,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61429,8715658390947,Admiration Eternal Uomo L'Assoluto (Mens 100ml EDT) Linn Young (FRLY166) (0947),UNIT,UNIT,1,4.25,5.1,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61428,8715658390930,Admiration Eternal Uomo (Mens 100ml EDT) Linn Young (FRLY165) (0930),UNIT,UNIT,1,4.25,5.1,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS47313,8715658390015,Admiration Pure (Mens 100ml EDT) Linn Young (FRLY140) (0015) D/14,UNIT,UNIT,1,4.25,5.1,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17822,5060309522899,After Dark (Ladies 100ml EDT) Creative Colours (2899) CC/25,UNIT,UNIT,1,2.5,3.0,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22868,6292257644807,Agar Noir Intense (Mens 100ml EDP) Nusuk (4807) NUSUK/17,UNIT,UNIT,1,15.0,18.0,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS22550,5060616908485,Agarwood Honey Pot (Ladies 35ml EDT) Lilyz (8485) (CZ9723-134),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61831,085715710307,Agent Provocateur (Ladies 200ml EDP) Agent Provocateur (0307),UNIT,UNIT,1,21.95,26.34,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61269,5060194132678,Airpure 24 Days Tea Light Candle Advent Calendar - Gonk (2678),UNIT,UNIT,1,3.95,4.74,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61270,5060194132685,Airpure 24 Days Tea Light Candle Advent Calendar - Nutcracker (2685),UNIT,UNIT,1,3.95,4.74,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS15838,5060194130520,Airpure 4 Pack Scented Beads - (Op-1) (0520),UNIT,UNIT,1,1.6,1.92,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS16304,5060194132425,Airpure 4 Pack Scented Beads - (Op-2) (2425),UNIT,UNIT,1,1.6,1.92,,,REJECT,No Amazon match found,
