asin,sale_price,profit,bsr,est_sales,max_cost,breakeven,offers,fba,fbm,amazon_on_listing,gated,hazmat,amazon_bb,private_label,total_fees
B0773K36QL,21.99,12.26,13,50+/mo,9.25,6.97,,,,Y,N,,-,-,9.73
B002NPY6U0,22.99,15.05,11,50+/mo,12.03,4.56,,,,Y,N,,-,-,7.94
B01IUPTKFM,26.19,17.66,16,50+/mo,14.12,4.56,,,,Y,N,,-,-,8.53
B01CAFYB48,36.44,25.76,15,50+/mo,20.60,4.90,,,,Y,N,,-,-,10.68
B0BQND6BH4,34.97,24.95,17,50+/mo,19.95,3.97,,,,Y,N,,-,-,10.02
B00486DBL2,27.95,19.09,16,50+/mo,15.27,4.56,,,,Y,N,,-,-,8.86
B004DIRKAS,21.45,13.79,17,50+/mo,10.79,3.52,,,,Y,N,,-,-,7.66
B0CYW22BZ9,25.99,20.04,17,50+/mo,16.03,4.07,,,,Y,N,,-,-,5.95
B0BZ3ZT4SG,33.60,23.71,17,50+/mo,18.96,4.05,,,,Y,N,,-,-,9.89
B002SX0EIA,23.30,15.36,18,50+/mo,12.28,4.05,,,,Y,N,,-,-,7.94
B003P9YEW8,23.49,15.20,18,50+/mo,12.15,4.24,,,,Y,N,,-,-,8.29
B09L5DNQXD,21.29,13.66,19,50+/mo,10.65,3.66,,,,Y,N,,-,-,7.63
B00BUFXFP6,23.99,15.99,19,50+/mo,12.78,3.97,,,,Y,N,,-,-,8.00
B07VBZ78C3,21.95,14.35,15,50+/mo,11.35,4.00,,,,Y,N,,-,-,7.60
B08DTFGN3W,35.00,24.98,20,50+/mo,19.98,3.97,,,,Y,N,,-,-,10.02
B00UXLGOD8,33.99,23.49,20,50+/mo,18.79,5.22,,,,Y,N,,-,-,10.50
B0G1MS9D26,23.60,15.27,22,50+/mo,12.21,4.90,,,,Y,N,,-,-,8.33
B004JI8FB0,28.68,19.68,21,50+/mo,15.74,3.98,,,,Y,N,,-,-,9.00
B0DKJ3L28C,20.99,13.14,29,50+/mo,10.14,4.90,,,,Y,N,,-,-,7.85
B000I6BMPS,24.06,17.35,23,50+/mo,13.88,2.25,,,,Y,N,,-,-,6.71
