supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Aurora,5034566017955,B0B7SFLL34,"Aurora, 01795, Avery Teddy Bear, Eco-friendly soft toy, Taupe",UNIT,12.6,19.99,6.4885,6.4885,0.9014999999999986,0.9014999999999986,0.0450975487743871,0.0450975487743871,,REJECT,"Unprofitable — current £0.90, conservative £0.90 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555005087,B0D4QXVZF3,Ravensburger Vintage Travel Guides 500 Piece Jigsaw Puzzle for Adults and Kids Age 10 Years Up,UNIT,5.94,10.89,4.050233,4.050233,0.8997669999999998,0.8997669999999998,0.0826232323232322,0.0826232323232322,,REJECT,"Unprofitable — current £0.90, conservative £0.90 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506413071,B0CX985LC7,"Learning Resources Numberblocks Rainbow Counting Bus, Ages 3+, Interactive Numberblocks Bus Toy Playset with Collectable Seven Figure Included, Plays 12 Songs and Sounds, CBeebies Toys",UNIT,16.38,23.99,6.750899,6.750899,0.859100999999999,0.859100999999999,0.0358107961650687,0.0358107961650687,100.0,REJECT,"Unprofitable — current £0.86, conservative £0.86 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566337299,B0CLS3RXQS,"Aurora, 33729, Palm Pals Treasure Starfish 5In, Soft Toy, Orange",UNIT,4.56,9.43,4.026386,4.026386,0.8436140000000005,0.8436140000000005,0.08946065747614,0.08946065747614,,REJECT,"Unprofitable — current £0.84, conservative £0.84 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566614994,B0B7SDQJD8,"Aurora, 61499, Baby Smoo-Smed, The Smed and the Smoos, Eco-friendly soft toy, Purple",UNIT,6.6,11.9,4.459759999999999,4.459759999999999,0.8402400000000014,0.8402400000000014,0.0706084033613446,0.0706084033613446,200.0,REJECT,"Unprofitable — current £0.84, conservative £0.84 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566404717,B0D3V7VJ1M,"Aurora, 40471,Peanuts Palm Pals Snoopy 5In, Soft Toy, White & Black",UNIT,5.04,9.99,4.110498,4.110498,0.8395020000000004,0.8395020000000004,0.0840342342342342,0.0840342342342342,300.0,REJECT,"Unprofitable — current £0.84, conservative £0.84 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566443013,B0CNKRVBLG,"Aurora, 44301, SMILEYWORLD® Official Merchandise, Wink, 5In, Soft Toy, Yellow",UNIT,5.04,9.99,4.110498,4.110498,0.8395020000000004,0.8395020000000004,0.0840342342342342,0.0840342342342342,,REJECT,"Unprofitable — current £0.84, conservative £0.84 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Mattel,0887961824612,B071W8V9ZQ,"Mattel Disney and Pixar Cars Toy Die-Cast Mini Vehicle in Blind Box for Surprise with Character Car for Racing & Storytelling (Assorted Styles, One Random Item), GKD78",UNIT,2.448,6.7,3.42969,3.42969,0.8223100000000003,0.8223100000000003,0.1227328358208955,0.1227328358208955,700.0,REJECT,"Unprofitable — current £0.82, conservative £0.82 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566615687,B0CLS2DBF2,"Aurora, 61568, Palm Pals Freddie Black Taxi, 5I, Soft Toy, Black",UNIT,5.04,9.96,4.10898,4.10898,0.811020000000001,0.811020000000001,0.0814277108433735,0.0814277108433735,,REJECT,"Unprofitable — current £0.81, conservative £0.81 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566615694,B0CLS2R7BV,"AURORA, 61569, Palm Pals Hattie Telephone Box, 5I, Soft Toy, Red and White",UNIT,5.04,9.96,4.10898,4.10898,0.811020000000001,0.811020000000001,0.0814277108433735,0.0814277108433735,,REJECT,"Unprofitable — current £0.81, conservative £0.81 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
