ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0C36VDLG9,"Dog Agility Set, Portable Pet Jump Training Equipment Kit of 6 Poles & 6 Cones with Carry Bag, 3 PCS Adjustable Height Jumping Obstacles For Pets",22YardsPro,Pet Supplies,MAYBE,8.2,GBP29.99,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09G4H5P1T,Heiniger 9 Piece Metal Snap-On Comb Set - Professional Pet Grooming Comb Attachments | For A5-Type Snap-On Blades | Various Lengths for Precision Cutting,Heiniger,Pet Supplies,MAYBE,8.0,GBP62.45,GBP3.04,20.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00KAKHWB0,"Chris Christensen Big K Dog Slicker Brush for Dogs (Goldendoodles, Labradoodles, Poodles), Groom Like a Professional, Fluff Detangle Style, Saves Time Energy, Black, Medium",Chris Christensen,Pet Supplies,MAYBE,8.0,GBP71.45,GBP3.00,22.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07VCDWP9M,Tigerino Canada Sensitive Clumping Clay Cat Litter 36KG An Unscented Antibacterial Disposable And Hypoallergenic Hygiene Litter With Smell Control Formula Free 4.5cm Natural Catnip Ball,Tigerino,Pet Supplies,MAYBE,8.2,GBP48.99,GBP0.00,27.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00VV91FEE,Vetasept Povodine Iodine - Antispetic Solution - 500ml Bottle,napz,Pet Supplies,YES,8.6,GBP34.99,GBP0.00,26.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07NVWS1LK,"Copdock Mill Millet Spray for Birds 15kg - Bird Treats - Bird Millet Spray for All Species of Pet and Wild Birds Including Budgies, Robins, Finches and More",Copdock Mill,Pet Supplies,YES,8.5,GBP39.99,GBP0.00,27.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00VTPN8P4,Shires Aviemore Plain Bridle With Rubber Grip Reins - Havana: Full,Shires,Pet Supplies,MAYBE,8.2,GBP37.50,GBP0.00,27.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B003ZGEXPY,Panacur Rabbit Oral Worming Paste 5g,Panacur,Pet Supplies,BRAND APPROACH,8.3,GBP26.99,GBP0.00,25.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00CFLP7Y6,Sepolita Chinchilla Dust 20kg,Tolsa Uk,Pet Supplies,BRAND APPROACH,8.2,GBP28.56,GBP0.00,26.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00CFLP7Y6,Sepolita Chinchilla Dust 20kg,Tolsa Uk,Pet Supplies,BRAND APPROACH,8.2,GBP28.56,GBP0.00,26.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B007AQQQXC,Horse First RelaxMe 2 kg,Horse First,Pet Supplies,MAYBE,8.0,GBP55.50,GBP3.49,18.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B082XH4413,"20kg Henergise Poultry""Hi-Energy"" Boost Mix - Condition Feed",Croston Corn Mill,Pet Supplies,YES,8.5,GBP29.99,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07J6QMLLQ,"2KG Medium Kibble Eden 80/20 Original Cuisine Dry Dog Food Suitable for Puppies, Adult and Senior Dogs AND Tigerbox® Antibacterial Pen!",Eden & Tigerbox,Pet Supplies,YES,8.5,GBP24.99,GBP0.00,25.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CBVSDX36,Naturo Adult Grain Free Turkey with Potato & Veg 10kg,Naturo,Pet Supplies,YES,8.6,GBP36.69,GBP0.00,26.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0C52MGQSV,LeMieux Arika Stirrup Leathers 130cm Black,LeMieux,Pet Supplies,MAYBE,8.3,GBP43.50,GBP0.00,27.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08J1BYDJR,Marriages Organic Poultry Grower Pellets 20Kg,Marriage's,Pet Supplies,BRAND APPROACH,8.1,GBP25.50,GBP0.00,25.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D7HD84Q6,"Fab Finches Harrisons Adult Lifetime Coarse complete diet in a size of piece that is usually preferred by larger parrots, such as Amazons (2.27kg)",Fab Finches,Pet Supplies,BRAND APPROACH,8.3,GBP44.48,GBP0.00,27.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
