ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B0C3559K7V,ROYAL CANIN Veterinary Diet Canine Dental Dry Dog Food - 13kg,ROYAL CANIN,https://www.amazon.co.uk/dp/B0C3559K7V,Pet Supplies,OK,64.03,62.53,-2.0%,29348,40065,40,0,7,0,N,1.83,10.63,12.46,41.62,9.95,23.9%,42.97,54.08,0%,Pet Drugs Online (96%) / A32HMNP2U03655,no,5.0,3,1,N,3,WEAK,N,-,,,KEEPA,3182550925310,,
B005N7JPRE,Super Codlivine The Powder Joint Supplement,Super Codlivine,https://www.amazon.co.uk/dp/B005N7JPRE,Pet Supplies,OK,24.07,30.95,22.0%,42459,45656,21,0,5,0,N,0.00,4.47,4.47,15.65,3.96,25.3%,16.34,20.11,0%,Goldstar Leisure Ltd (89%) / A3VZ7ZF5ZTJ,no,4.8,49,1,N,3,WEAK,N,-,,,KEEPA,5027286031585,,
B0D1YQQCFS,PURINA PRO PLAN VETERINARY DIETS EN Gastrointestinal Mousse Wet Dog Food Can 24x195g,Pro Plan Veterinary Diets,https://www.amazon.co.uk/dp/B0D1YQQCFS,Pet Supplies,OK,45.67,45.69,0.0%,29370,32320,44,0,5,0,N,4.45,6.04,10.49,29.69,5.50,18.5%,29.32,40.17,0%,Pet Drugs Online (96%) / A32HMNP2U03655,no,4.9,11,8,N,4,AVERAGE,N,-,MAYBE-ROI,,KEEPA,7613287858054,,07613287858054
B006M43U8M,Sunflower Hearts 20KG (TP)(SUNH),Mosole,https://www.amazon.co.uk/dp/B006M43U8M,Pet Supplies,HEAVY,30.99,33.18,7.0%,29400,35026,32,0,5,0,N,9.68,5.53,15.21,20.14,-4.37,-21.7%,13.15,35.36,0%,E & E Corn Supplies (93%) / A6D2RDT5KWY5,no,4.6,130,1,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,5391905165198,,05391905165198
B0821QJ1KR,HAYPIGS Guinea Pig Toys and Accessories Circus Themed Enrichment Toy Bundle - Guinea Pig Tunnel - Treat Ball Toy - Rabbit Toys - Small Animal Boredom Breaker,HAYPIGS,https://www.amazon.co.uk/dp/B0821QJ1KR,Pet Supplies,OK,22.98,22.97,0.0%,49255,78596,8,0,2,0,N,3.38,4.30,7.68,14.94,0.36,2.4%,12.75,22.62,0%,HayPigs! (100%) / A3ATGHZSBEP2LT,yes,4.5,169,7,N,4,AVERAGE,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5060510230446,,
B07V6KZM6Q,"Trixie 3-Step Folding Steps, Aluminium/Plastic/Tpr, Width 37 cm/Height Up To 57 cm/De",TRIXIE,https://www.amazon.co.uk/dp/B07V6KZM6Q,Pet Supplies,OK,52.50,65.34,20.0%,26969,76198,11,0,2,0,Y,5.25,7.78,13.03,34.13,5.35,15.7%,32.89,47.15,92%,Amazon,yes,4.2,292,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4011905393766,,04011905393766
B07X48BWVJ,"Kerbl Hay Rack, Large Model, Galvanised",Kerbl,https://www.amazon.co.uk/dp/B07X48BWVJ,Pet Supplies,HEAVY,56.59,57.33,1.0%,29903,26850,22,0,2,0,Y,9.30,9.48,18.78,36.78,1.02,2.8%,31.50,55.57,100%,Amazon,yes,4.6,409,5,N,4,AVERAGE,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4018653104231,,04018653104231
B007T6GA98,Global Herbs Pollenex Equine Seasonal Allergy & Pollen Comfort Support Powder 1kg,Global Herbs,https://www.amazon.co.uk/dp/B007T6GA98,Pet Supplies,OK,53.19,51.13,-4.0%,29426,47224,15,0,10,0,N,3.26,8.96,12.22,34.57,6.40,18.5%,34.14,46.79,0%,Just Horse Riders (95%) / A1WK58OVOUW5JD,no,4.3,10,1,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,5060287801283,,05060287801283
B07CV9WD56,Certech Super Benek Corn Cat Corn Cat Litter Clumping 25 L,Super Benek,https://www.amazon.co.uk/dp/B07CV9WD56,Pet Supplies,HEAVY,30.89,32.73,6.0%,29433,33122,39,0,6,0,N,6.74,5.51,12.25,20.08,-1.44,-7.2%,15.53,32.33,0%,Delara Trading (59%) / APU7DWP4HPHZ9,no,4.9,24,1,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,5905397017684,,05905397017684
B004L8M4FG,Royal Canin Veterinary Diet Dog Gastro Intestinal Moderate Calorie Dog Food,ROYAL CANIN,https://www.amazon.co.uk/dp/B004L8M4FG,Pet Supplies,HEAVY,45.68,47.91,5.0%,29438,36050,33,0,10,0,N,5.40,7.80,13.20,29.69,2.79,9.4%,27.07,42.89,0%,Pet Drugs Online (96%) / A32HMNP2U03655,no,4.5,133,2,N,3,WEAK,N,-,MAYBE-ROI,,KEEPA,3182550771122,,03182550771122
