ASIN,Title,Brand,Amazon URL,Category,Weight Flag,Current Price,Buy Box 90d Avg,Price Drop % 90d,BSR Current,BSR 90d Avg,BSR Drops 90d,Bought per Month,FBA Seller Count,FBA Seller 90d Avg,Amazon on Listing,Fulfilment Fee,Amazon Fees,Total Amazon Fees,Est Cost 65%,Est Profit,Est ROI %,Max Cost 20% ROI,Breakeven Price,Buy Box Amazon %,BB Seller,BB Is FBA,Star Rating,Review Count,Image Count,Has A+ Content,Bullet Count,Listing Quality,Brand 1P,Gated,SAS Flags,Pre-filter Flags,Data Source,EAN,UPC,GTIN
B08Z1C61CK,ABYstyle One Piece Luffy Premium Straw Hat - Adult,ABYSTYLE,https://www.amazon.co.uk/dp/B08Z1C61CK,Toys & Games,,22.99,22.90,0.0%,20287,41705,42,100,12,0,N,4.59,4.30,8.89,14.94,-0.84,-5.7%,11.75,23.83,0%,Merchoid (93%) / A1UF1TK56TWV0R,no,4.6,1224,3,Y,5,AVERAGE,N,-,MAYBE-ROI,,KEEPA,3665361049524,,03665361049524
B0FNX6ZGFV,"BABY born Interactive Rosie 30cm, soft baby doll with 6 sounds & bottles, Pink",BABY born,https://www.amazon.co.uk/dp/B0FNX6ZGFV,Toys & Games,,21.99,21.53,-2.0%,26483,24681,44,100,2,0,Y,3.05,4.15,7.20,14.29,0.50,3.5%,12.33,21.49,100%,Amazon,yes,4.6,20,9,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK; LOW SELLER CHECK,KEEPA,4001167840955,,
B0DKQXNBS2,BABY born Emma in jungle style - 43 cm tall baby doll - 10 functions incl. accessories & romper in unisex colours - Functions without batteries - Suitable for children from 3 years of age,BABY born,https://www.amazon.co.uk/dp/B0DKQXNBS2,Toys & Games,,35.14,37.53,6.0%,20326,71230,51,200,7,0,Y,3.54,6.17,9.71,22.84,2.59,11.3%,21.19,32.55,100%,Amazon,yes,4.6,110,8,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,4001167839072,,
B09J17B7X7,"Friday Night Dinner 1454 Jim 24cm Talking Plush, Interactive Free Standing Soft Toy, Age 15 Years+ (Recommended due to Language Content)",Friday Night Dinner,https://www.amazon.co.uk/dp/B09J17B7X7,Toys & Games,,23.98,24.56,2.0%,20676,11310,77,100,2,0,N,3.04,4.45,7.49,15.59,0.90,5.8%,13.74,23.08,0%,scificollectorshop (99%) / A1QCK4ONEKQVL,no,4.8,47,4,Y,5,AVERAGE,N,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,5055069718088,,
B0080EWI5S,Thomas & Friends Kids Ride On Toys for 1+ years Boys and Girls - Sit and Ride On Thomas the Tank Engine Toy with Steering Wheel - Easy Assembly Toddler Walker Toy - Outdoor and Indoor Push Along Car,THOMAS & FRIENDS,https://www.amazon.co.uk/dp/B0080EWI5S,Toys & Games,,31.48,30.61,-3.0%,20876,15530,58,100,4,0,N,5.10,5.61,10.71,20.46,0.31,1.5%,17.31,31.17,31%,Booghe Toys - ( Fast Dispatch ) (92%) / ,no,4.2,1057,4,N,3,AVERAGE,N,-,MAYBE-ROI,,KEEPA,"5017915707608, 5017915707615, 5054242373212",,"05017915707608, 05017915707615"
B0C2Z32FCB,"The Army Painter, Speedpaint 2.0 Starter Set, Beginner Paint Set, 10 x 18 ml Acrylic Contrast Paints incl. 1 Free Basecoating Brush for DnD and Warhammer Figures",The Army Painter,https://www.amazon.co.uk/dp/B0C2Z32FCB,Toys & Games,,33.36,34.54,3.0%,13217,13507,75,100,13,0,N,2.72,5.90,8.62,21.68,3.06,14.1%,20.62,30.30,0%,The Army Painter (96%) / A11OV3D7SUQB0C,yes,4.6,704,8,Y,5,STRONG,Y,-,MAYBE-ROI,,KEEPA,5713799805903,,05713799805903
B0CVSM9GT9,"Aphmau MeeMeows 11” Classic Mystery Plush, Safari Plush Mystery Box, Blind Box, 1 of 4 Possible Safari MeeMeows, Official Merch, Styles May Vary",Aphmau,https://www.amazon.co.uk/dp/B0CVSM9GT9,Toys & Games,,20.00,19.78,-1.0%,21318,10011,140,100,4,0,Y,3.54,3.84,7.38,13.00,-0.38,-2.9%,10.52,20.38,99%,Amazon,yes,4.7,118,9,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,AMAZON CHECK,KEEPA,0810054664864,810054664864,00810054664864
B09MHV9NF1,200 Conversation Cards - Help Kids Enjoy Talking and Listening - Great for Car Rides and Family Dinners - A New Way for Kids to Express Themselves,TALKING POINT CARDS,https://www.amazon.co.uk/dp/B09MHV9NF1,Toys & Games,,24.97,24.97,0.0%,21496,18199,44,100,2,0,N,3.00,4.61,7.61,16.23,1.13,7.0%,14.47,23.84,0%,Talking Point Cards (100%) / ACCOCKJFL9F,yes,4.7,999,6,Y,5,STRONG,Y,-,MAYBE-ROI,LOW SELLER CHECK,KEEPA,9358053000050,,09358053000050
B0D7PTFJJR,"Mattel WWE Superstar Ring with Labels for Main Event & RAW, Spring-Loaded Mat & Pro Tension Elastic Ropes, JDJ20",WWE,https://www.amazon.co.uk/dp/B0D7PTFJJR,Toys & Games,,28.33,25.75,-10.0%,22106,40615,76,100,13,0,N,3.48,5.12,8.60,18.41,1.31,7.1%,16.44,27.02,32%,Kiddimax - Free Next Day Delivery (90%) ,no,4.7,667,4,Y,5,AVERAGE,N,-,MAYBE-ROI,PRICE CHECK,KEEPA,0194735285099,194735285099,00194735285099
B0DQY5SCP9,"Barbie Dream Pool Playset with 6 Play Areas, Including Slide & Bubbling Hot Tub, Plus 20+ Accessories Like Pet, Floaties & More, JKG83",Barbie,https://www.amazon.co.uk/dp/B0DQY5SCP9,Toys & Games,,50.62,45.18,-12.0%,22630,13880,85,100,13,0,Y,5.10,8.56,13.66,32.90,4.05,12.3%,30.80,46.57,76%,Amazon,yes,4.7,707,6,Y,5,STRONG,N,-,MAYBE-ROI; AMAZON DOMINANT,PRICE CHECK; AMAZON CHECK,KEEPA,0194735349623,194735349623,
